,cpu_rating,display_density,display_height,display_size,display_width,height,memory,standby_time,talk_time,thickness,weight,width
ZTE-Fury_id7010,3,165,480,5,320,118,5,187,8.00,12,140,62
Emporia-Glam_id8673,,167,320,4,240,104,,320,4.00,17,,52
BlackBerry-Classic_id8501,1,294,720,5,720,131.1,2,365,17.20,10.2,178,72.4
Verykool-i607_id8063,,128,176,2,220,111,,192,4.00,11,82,59
Samsung-Galaxy-A9-2016_id9736,1,367,1920,0,1080,161.7,3,,,7.4,200,80.9
HTC-One-V-CDMA_id7144,3,252,800,7,480,120.3,5,252,7.20,9.24,115,59.7
Nokia-6015i--6012--6011i--6016i--6019i_id812,,,65,,96,109,,360,3.70,24,109,50
Samsung-Exhilarate_id6820,1,233,800,0,480,122,1,250,7.00,12,130,63
Fly-Posh-DS131_id9208,3,154,320,6,240,127.8,,,5.60,7.4,99,52.6
Motorola-E680--E680i_id769,3,,320,,240,108,,180,6.00,21,133,53
Pantech-Breakout_id5692,3,233,800,0,480,127,5,303,5.78,12,138,64
i-mobile-Hitz2211_id6331,,82,128,2,128,111,,1200,7.20,13.4,70,61.5
Samsung-S3110_id3506,,141,220,0,176,109,,220,3.30,10.9,77,46
Amoi-A900W_id8751,1,267,1280,5,720,,1,,,,,
Samsung-Champ-3,,143,320,8,240,102.7,,800,10.00,11.9,112,55.3
BlackBerry-Curve-9360_id5142,3,246,360,4,480,109,5,348,5.00,11,99,60
Motorola-StarTac-7897_id25,,,,,,165,,160,2.10,6,98,51
Huawei-Ascend-Mate7_id8790,1,368,1920,0,1080,157,2,,,7.9,185,81
Nokia-C5-06_id6492,3,229,640,2,360,105.8,5,600,11.50,13.8,93,51
Samsung-SCH-A970_id1196,,,220,,176,94,,330,3.50,25,162,47
Huawei-C8820_id7119,,,,,,,,,,,,
LAVA-Iris-X5_id9326,1,294,1280,0,720,143.5,1,200,6.00,7.7,134,71.5
Xolo-Cube-5,1,294,1280,0,720,143,2,656,25.90,6.9,,71
Amoi-E78_id6195,,163,240,5,320,115.0,,,,12.7,131,62.0
HTC-Flyer_id5169,2,170,600,0,1024,195.4,1,1470,,13.2,420,122
Nokia-6260_id846,,,208,,176,102,,144,4.00,23,130,49
LG-Gelato_id5552,,,,,,,,,,,,
Samsung-E1117_id3316,,111,128,6,128,106.4,,410,5.00,15,76,45
Samsung-SGH-A197_id4832,,150,160,4,128,96,,300,6.00,19,76,47
Samsung-Galaxy-A7-2016_id9812,1,401,1920,5,1080,151.5,3,,,7.3,172,74.1
Celkon-Campus-Whizz-Q42_id9031,1,233,800,0,480,122,5,,,9.5,122,63
Samsung-SGH-S307_id541,,,128,,128,80,,200,5.00,23,70,40
Nokia-6300i_id2699,,200,320,0,240,106.5,,336,3.50,13,93,43.5
Zen-Mobile-Ultrafone-306-Play_id9450,1,165,480,5,320,,5,,,,,
Nokia-1800_id4205,,,160,,128,107,,816,13.00,15.3,78,45
GIGABYTE-GSmart-Mika-M3_id9006,1,294,1280,0,720,144,1,150,4.50,8.3,146,70.5
Nokia-X6-8GB_id4713,3,229,640,2,360,111,5,420,11.50,13.8,122,51
LAVA-Flair-Z1_id9894,1,196,854,0,480,143.5,1,,15.50,8.9,160,72.5
Samsung-Galaxy-S4-mini_id7788,1,256,960,3,540,124.6,5,250,14.00,8.94,108,61.3
Samsung-Galaxy-V_id8971,2,233,800,0,480,121.4,5,,,10.7,123,62.9
Samsung-SGH-L170_id2509,,176,220,6,176,102,,250,5.00,10.7,86,46
LAVA-Iris-460_id9323,1,218,854,5,480,130,1,250,6.00,8.75,,65
Nokia-Lumia-720_id7746,1,217,800,3,480,127.9,5,504,23.40,9,128,67.5
HTC-Sensation-4G_id5188,1,256,960,3,540,126.1,5,350,8.25,11.3,148,65.4
Zen-Mobile-P8i_id7992,,,,8,,,,360,6.00,,,
Micromax-Canvas-Knight-Cameo_id8878,1,312,1280,7,720,,1,180,7.00,,,
LG-Swift_id3263,,200,320,0,240,93,,150,3.33,20,85,49
ZTE-Nubia-Z5S_id8285,1,441,1920,0,1080,137.7,2,,,7.6,126,68.8
Celkon-C607_id7396,,157,220,8,176,,,,,,,
Samsung-C3322_id5462,,182,320,2,240,,,500,10.00,,89,
Samsung-SGH-T105G_id4085,,121,128,5,128,107,,350,7.00,15,65,46
Samsung-Freeform-II_id4971,,182,240,2,320,105,,550,5.00,15,108,54
Xiaomi-MI-2a_id8195,1,326,1280,5,720,133,1,,,9.5,133,66.5
Lemon-Mobiles-Ocean-4G-Power_id9857,1,441,1920,0,1080,,2,,,,160,
Plum-Coach-Plus_id9102,1,184,960,0,540,168,5,750,17.00,11.2,250,88
Zen-Mobile-Ultrafone-105-Sport_id9448,1,165,480,5,320,,5,,,,,
Lemon-Mobiles-B129_id7156,,,,8,,106.5,,288,5.00,14.7,80,46.5
Samsung-SGH-C417_id1695,,,160,,128,93,,250,5.00,16.5,81,48
LAVA-ARC03N_id6110,,114,160,8,128,,,240,3.00,,,
Xolo-Q510s_id9128,1,233,800,0,480,128,1,390,15.00,8.98,,63
Samsung-I7410_id3509,,146,400,2,240,111.7,,,,17.2,,56.7
Samsung-SGH-B220_id3291,,135,160,5,128,105,,250,2.50,14,78,44.5
Verykool-i601_id8072,,141,220,0,176,100,,120,3.00,12.4,85,55
Celkon-CT711_id9946,1,170,1024,0,600,127,1,,,13.7,70,48
LG-Town-C300_id4841,,167,240,4,320,116,,408,11.54,11.9,92,61.9
Samsung-Stride_id4257,,148,220,9,176,93,,250,4.50,18,88,48
Eten-M810_id2576,3,143,320,8,240,109.5,,260,6.00,17.5,179,59
HTC-Desire-512_id10151,1,208,854,7,480,139.9,1,,,9.99,158,69.8
Gionee-Elife-E7-Mini_id9752,1,312,1280,7,720,139.8,1,,,8.6,143,66.2
Samsung-SPH-M305_id2215,,,160,,128,91.5,,336,3.00,18,84,48
Apple-iPhone-SE_id10001,1,326,1136,0,640,123.8,2,240,,7.6,113,58.6
Sony-Ericsson-W8-Walkman_id5443,3,192,480,0,320,,,446,4.75,,104,
Samsung-SGH-E890_id1697,,174,320,3,240,99,,350,3.83,14.6,82,49
BlackBerry-7280_id614,,,160,,240,113,,240,5.00,20,136,74
Samsung-E2232_id5461,,116,160,8,128,,,500,11.30,,79,
i-mobile-S382_id6326,,141,176,0,220,99.9,,500,4.00,12.8,84,53
ZTE-Open-C_id8463,1,233,800,0,480,,5,,,,,
Videocon-V200_id6073,,121,128,5,128,99,,300,5.00,13.8,,44
Motorola-V235--V230_id1124,,,160,,128,86.3,,260,5.00,24.4,95,47
i-mobile-Hitz200_id6377,,121,128,5,128,109.3,,250,3.00,17.5,80,45.5
Samsung-SGH-M620_id2696,,,160,,128,98,,300,3.00,16.9,81,46.9
Samsung-Wave-II_id4943,3,252,800,7,480,123.9,,620,13.83,11.8,135,59.8
Yezz-Andy_id7186,3,180,480,2,320,107.5,5,48,3.00,14.9,71,57.7
Huawei-P8max_id9359,1,324,1920,8,1080,182.7,3,,,6.8,228,93
Samsung-SGH-T369_id4692,,,320,,240,114,,312,5.00,15,112,53
ZTE-F870_id6701,,146,400,2,240,108,,,,12.6,100,55.5
ICEMOBILE-Thunder_id6591,,,,8,,,,360,,,,
ZTE-Apache_id7580,1,,,,,,,,,,,
Sony-Ericsson-J200_id1005,,,128,,128,101,,200,4.50,19,74,43
i-mobile-TV-658-Touch-Move_id6411,,155,400,0,240,111,,300,4.00,13,,56
Sony-Ericsson-T630_id683,,,160,,128,102,,300,9.00,17,92,43
Samsung-Ace_id2461,,174,240,3,320,118,5,240,4.00,11,109,59
mobiado-105ZAF_id3388,,200,320,0,240,109.3,,216,3.50,10.6,162,47.5
Samsung-Galaxy-S-Duos-3_id9124,1,233,800,0,480,121.4,5,,,10.8,124,62.9
HTC-Desire-US_id4476,3,252,800,7,480,119,5,360,6.50,11.9,135,60
Plum-Caliber-II_id8567,3,167,320,4,240,116,5,250,7.00,13.5,125,51.6
LG-KC780_id3165,,167,320,4,240,107,,450,6.00,13.9,119,52
LG-KF305_id4484,,182,320,2,240,98.8,,,,16.2,90,49.5
Zen-Mobile-S15_id6202,,167,320,4,240,113,,230,4.00,13,90,50
LG-KP130A_id2622,,,128,,128,100,,400,3.00,13.5,70,45
Karbonn-K-6_id6461,,141,176,0,220,113.4,,200,4.10,14.3,89,60.9
Nokia-6124-classic_id2658,3,200,320,0,240,105,,230,3.10,15.6,89,46
Samsung-C3510_id4326,,143,320,8,240,103.9,,720,10.00,12.9,92,55.4
Plum-Coach-Pro_id9569,1,245,1280,0,720,157.8,1,780,16.00,9.9,156,74
Yezz-Andy-5T-LTE_id10097,1,294,1280,0,720,144.7,1,,,6.3,148,70.5
Motorola-RIZR-Z3_id1684,,,220,,176,105.5,,350,6.66,16,115,45.5
Dell-Millenium_id5237,2,256,960,3,540,,,,,,,
Sony-Ericsson-D750_id1251,,,220,,176,100,,400,9.00,20.5,99,46
Samsung-SGH-Z600_id1461,,,208,,176,89,,,,23.5,115,48
BlackBerry-6280_id693,,,,,,113,,384,5.00,20,136,74
Samsung-SGH-C170_id2168,,,128,,128,104,,270,2.50,14.8,75,43
Samsung-E1117L_id3596,,111,128,6,128,106.4,,410,5.00,15,76,45
mobiado-105GMT_id3391,,200,320,0,240,128.8,,216,3.50,10.6,241,47.5
Nokia-7380_id1362,,,208,,104,114,,240,3.00,20,80,30
LG-KF240_id3423,,141,220,0,176,94,,,,15.8,91,47
NIU-LOTTO_id7160,,141,220,0,176,111.5,,96,4.00,13.2,55,47
Zen-Mobile-P37_id8513,,165,480,5,320,124.1,,240,5.00,10.8,95,65.3
ZTE-Solar_id8340,1,218,854,5,480,133,5,,,10,157,66
BLU-Neo-Energy-Mini_id10159,1,233,800,0,480,126,5,,,11,,62
Karbonn-K-580_id6460,,128,220,2,176,106.9,,180,2.50,12.2,75,46.8
Nokia-2730-classic-US_id3941,,200,320,0,240,109.6,,396,7.40,14.4,88,46.9
Acer-Liquid-Z630S_id9605,1,267,1280,5,720,156.3,3,710,21.00,8.9,165,77.5
Samsung-Mythic_id4141,,223,640,3,360,114,,252,3.00,13,108,52
Alcatel-OT-S920_id2821,,,220,,176,105,,270,2.50,15.5,90,45.5
LG-VX-5200_id1178,,,160,,128,88,,180,3.30,24,178,47
LG-AX355_id1717,,,160,,128,92,,204,3.70,23,99,47
LAVA-Discover-137_id7960,,165,480,5,320,117,,400,5.00,11.8,102,62
Samsung-SGH-Z720_id1763,,,320,,240,104.5,,300,5.10,14,80,51
Motorola-Crush_id4251,,167,400,8,240,106,,500,4.30,14,102,51
Xiaomi-Mi-Pad-2_id9810,1,324,2048,9,1536,200.4,2,,,6.95,322,132.6
Sanyo-SCP-200_id1144,,,128,,128,85,,312,3.25,26,101,47
Huawei-P9-lite_id10043,1,424,1920,2,1080,146.8,3,,,7.5,147,72.6
BlackBerry-Bold-9790_id5606,3,245,360,5,480,110,5,432,5.20,11.4,107,60
Samsung-Katalyst_id2274,,,220,,176,101,,250,5.00,16.5,116,50
Nokia-6165i--6165_id1419,,,160,,128,87,,336,3.50,25,106,45.5
ZTE-Warp-4G_id8189,1,326,1280,5,720,132,1,,,10,133,66
Motorola-TIMEPORT-P7382i_id410,,,,,,,,150,3.50,,108,
HTC-Ignite_id5308,,,,7,,,5,,,,,
Lemon-Mobiles-Duo-216-Plus_id5926,,,,8,,105.5,,,,13.9,,45
Xolo-Q1100_id8633,1,294,1280,0,720,,1,600,24.00,,,
Karbonn-A91_id9257,1,235,800,0,480,125,5,250,6.00,10.9,,65
Samsung-Chrono-2_id7303,,182,320,2,240,96,,600,5.00,19,102,48
Samsung-Exclaim_id3585,,154,320,6,240,113,,,4.75,17,133,57
ICEMOBILE-Quattro_id8039,,87,160,3,120,,,,,,,
Emporia-CAREplus_id8203,,128,220,2,176,122,,300,6.00,18,103,55
Haier-M500_id2890,,123,160,7,128,,,200,3.00,,62,
Samsung-Galaxy-S3-Neo_id8584,1,306,1280,8,720,136.6,5,330,14.00,8.6,132,70.75
HTC-Hero2_id4477,3,180,480,2,320,,5,,,,,
Verizon-Wireless-GzOne-Boulder_id2844,,200,320,0,240,100,,66,3.56,23.1,139,51.3
Samsung-Galaxy-S-III-AT-T_id7131,1,306,1280,8,720,136.6,2,199,8.00,8.6,134,70.6
Lenovo-S856_id8966,1,267,1280,5,720,151,1,456,24.00,8.95,175,77.8
Samsung-SGH-P100_id577,,,160,,128,89,,120,4.00,22,93,48
Sony-Ericsson-K300_id1061,,,128,,128,99.9,,300,7.00,19.4,85,45.2
Lemon-Mobiles-T359_id6562,,,,4,,116.3,,720,10.00,16.5,87,49.5
LAVA-Discover-136_id7959,,165,480,5,320,118,,400,5.00,13,,62
LG-600g_id3052,,116,160,8,128,87,,147,3.00,20,56,47
Zen-Mobile-Ultrafone-303-Elite_id9440,1,235,800,0,480,,5,,,,,
ZTE-Score-M_id7015,3,165,480,5,320,112,,,,14,136,62
Samsung-SGH-X475_id1026,,,160,,128,86,,180,3.00,23,85,46
Motorola-W388_id3023,,114,160,8,128,109,,400,9.16,14.7,83,46
Karbonn-A4_id8372,1,,,0,,123,,125,5.00,10.5,88,63
Gionee-S-Plus_id10013,1,267,1280,5,720,155,3,315,21.00,7.5,158,76.4
LG-A250_id5378,,128,220,2,176,99.8,,100,4.00,15.8,92,51
i-mobile-S384_id6317,,167,240,4,320,,,240,4.00,,,
Samsung-Rugby-II_id4569,,182,320,2,240,102,,250,3.00,22,100,52
BLU-Life-Pure-XL_id8634,1,401,1920,5,1080,150.6,3,,,9.5,152,75
BlackBerry-Curve-3G_id3613,3,167,240,4,320,109,5,456,4.50,14,105,60
ZTE-N800_id8191,1,233,800,0,480,126,1,,11.00,10,125,65
Nokia-Lumia-1820_id8331,1,565,2560,2,1440,,3,,,,,
Asus-MeMO-Pad-7_id8697,1,216,1280,0,800,189.3,1,,,9.6,295,113.7
HTC-Touch-Pro-CDMA---Verizon_id3056,3,286,640,8,480,106,5,350,4.16,18,140,52
LG-K3_id10139,1,218,854,5,480,133.9,1,,14.00,9.4,127,67.8
Celkon-A115_id9171,1,196,854,0,480,148,5,,,9.3,164,74
Alcatel-OT-799_id5410,,182,240,2,320,111.1,,600,10.00,13.9,101,58.2
Siemens-CF63--CF62--CF62T_id748,,,130,,130,82,,220,5.00,22,85,45
Celkon-C770M_id7370,,167,320,4,240,114,,550,6.60,15.3,102,50
Motorola-C168i_id2084,,,128,,128,104,,340,8.33,14,78,46
Nokia-3395_id619,,,,,,109,,180,3.45,25,133,48
Sagem-my300C_id2780,,,128,,128,79.2,,250,3.50,21.7,79,43.5
Pantech-Matrix_id3090,,128,220,2,176,102,,240,3.00,20,132,50
General-Mobile-Q4_id6757,,,,4,,111.5,,360,4.00,12,93,59
Micromax-Bolt-D303_id9699,1,233,800,0,480,,5,245,4.40,,,
i-mate-PDAL_id1840,3,167,320,4,240,112,,150,4.00,17,116,56
Nokia-Lumia-2020_id8350,1,265,1920,3,1080,,,,,,,
Micromax-A75_id7416,3,154,480,8,320,120,5,288,5.00,10.9,135,63.5
Motorola-WILDER_id5477,3,143,320,8,240,102,,255,9.60,13.4,,58
ZTE-Radiant_id8337,1,233,800,0,480,124,1,312,5.00,11,147,65
Toshiba-FOLIO-100_id5251,1,118,600,1,1024,281,,,,14,760,181
LG-TRUE_id8921,3,128,220,2,176,98,,377,7.16,18.5,103,50.8
Zen-Mobile-M22_id6129,,103,144,2,176,,,250,4.50,,,
Motorola-r750--r750-plus_id1029,,,,,,140,,80,4.00,43,335,58.7
Videocon-V1666_id6910,,,,8,,108,,,,11,,55
Asus-Fonepad-7-FE375CL_id9236,1,216,1280,0,800,194.3,2,,,9.8,299,108.9
Samsung-SGH-X540_id1828,,,160,,128,90,,250,3.00,18,90,46.5
Xiaomi-Redmi-3S_id10200,1,294,1280,0,720,139.3,2,,,8.5,144,69.6
Alcatel-OneTouch-Hero-2_id9275,1,367,1920,0,1080,160.5,2,,,7.9,,81.6
ARCHOS-50c-Helium-4G_id9044,1,196,854,0,480,146,1,,,9.1,,73.5
Spice-Mobile-M-4262_id6537,,,,8,,,,500,4.00,,45,
ZTE-Rio-II_id5729,,167,320,4,240,110,,720,3.60,12.5,106,61
Plum-Dazzle_id8591,,167,320,4,240,109.2,,160,5.00,12.4,118,54.2
Nokia-E71x_id3378,3,167,240,4,320,114,5,312,5.00,10,127,57
Sagem-MyX-2a_id934,,,80,,101,99,,336,5.00,21,89,45
Amoi-WMA8517_id6201,,128,220,2,176,98.6,,,,18.2,,48.6
Samsung-Galaxy-Tab-4-7,1,216,1280,0,800,186.9,5,,,9,276,107.9
BlackBerry-Curve-8310_id2322,3,,240,,320,107,,408,4.00,15.5,111,60
Amoi-N800_id6189,,286,640,8,480,109.0,,,,15.7,135,59.0
Samsung-SGH-T329_id1879,,116,160,8,128,84,,200,2.50,24,80,43
Alcatel-THE-BIG-EASY-Flip_id8775,,167,320,4,240,104,,240,3.00,17.25,104,52.3
Samsung-Galaxy-Tab-4-8,1,189,1280,0,800,210,5,,,7.95,315,124
Alcatel-POP-4s_id9985,1,401,1920,5,1080,152,2,,,7.99,,76.8
mobiado-350PRL_id4027,,174,320,3,240,114.1,,408,10.50,12.1,217,57.4
Celkon-Millennia-EPIC-Q550_id9030,1,267,1280,5,720,152,1,,,7.9,144,76
LG-Optimus-Me-P350_id5104,3,143,320,8,240,113.5,,336,5.00,13.3,130,59
Verykool-Fusion-SL4500_id9468,1,218,854,5,480,131.6,1,,,8.9,130,65.6
HTC-One-M8_id8242,1,441,1920,0,1080,146.36,2,,,9.35,160,70.6
Samsung-Solstice-II_id5004,,155,400,0,240,108.9,,250,5.00,11.9,95,54.1
Alcatel-OneTouch-POP-C2_id8625,1,233,800,0,480,122,5,510,13.50,11.95,116,64.4
Nokia-8801--8800_id1217,,,208,,208,107,,190,3.00,15,134,45
BLU-Vivo-5_id9864,1,267,1280,5,720,151.9,3,625,16.00,6.9,141,74.6
Kyocera-2345_id164,,,,,,120,,144,3.80,24,123,48
Micromax-X275_id7057,,,320,,240,,,360,10.00,,,
Sony-Ericsson-G705_id3132,,167,320,4,240,95,,400,10.00,14.3,98,47
BlackBerry-7100t--7105t_id940,,,260,,240,119,,192,4.00,21,120,59
Benq-Siemens-S68_id1447,,,176,,132,107.5,,300,5.00,13,78,44
Sony-Xperia-M_id7875,1,245,854,0,480,124,1,429,10.30,9.3,115,62
Nokia-3600-slide_id2857,,200,320,0,240,97.8,,280,5.50,14.5,97,47.2
Nokia-5250_id4853,3,262,640,8,360,104,5,450,7.70,14,107,49
Motorola-XOOM_id5221,1,149,800,1,1280,249,1,,,12.9,730,167.8
Videocon-Infinium-Z45-Amaze_id9855,1,218,854,5,480,,1,,,,,
Airo-Wireless-A25is_id4513,3,143,320,8,240,142.4,5,,,24.4,275,68
Kyocera-Melo-S1300_id3229,,114,160,8,128,109,,200,3.30,13,71,44
Sanyo-SCP-7000_id1821,,114,160,8,128,85,,,3.50,27,105,47
Nokia-C2-01_id5024,,200,320,0,240,109.8,,430,8.75,15.3,89,46.9
HTC-Himalayas_id616,3,,320,,240,130,5,130,3.50,19,185,70
Samsung-SGH-J210_id2448,,157,220,8,176,97,,,,15.9,65,46
Alcatel-OT-E105c_id2818,,,80,,102,96,,,,19,80,42.5
Vertu-Signature-Touch-2015_id9663,1,426,1920,2,1080,155,4,520,21.00,10.8,226,74
Lenovo-IdeaPad-MIIX-300_id9282,1,189,1280,0,800,,2,,,,360,
Samsung-Galaxy-Tab-A-8,1,160,1024,0,768,208.3,5,,,7.4,313,137.9
Samsung-Galaxy-Tab-A-9,1,132,1024,7,768,242.6,5,,,7.4,449,166.9
Videocon-V203_id6030,,126,128,4,128,102.5,,180,3.00,10.6,,38.2
Asus-ZenPad-S-8,1,320,2048,0,1536,203.2,2,,,6.6,298,134.5
Toshiba-Encore_id8145,1,189,800,0,1280,213,2,,,10.68,450,135.9
General-Mobile-Discovery-Elite_id8767,1,401,1920,5,1080,150.6,3,,,9.7,152,75.0
LG-KU730_id2051,,,220,,176,97,,170,4.00,19.5,103,49.6
HTC-Touch-Viva_id3154,3,143,320,8,240,104,5,270,8.00,15.7,110,59
Xolo-Play-6X-1000_id9141,1,294,1280,0,720,139.9,2,581,24.60,8.5,,70.2
HP-SlateBook-x2_id7854,1,224,1200,1,1920,285,2,,,20,1400,212
Siemens-C56_id438,,,64,,101,101,,200,3.33,21,85,44
LG-Optimus-S_id4963,3,180,480,2,320,114,,,5.00,13,115,59
Gionee-Pioneer-P2M_id9762,1,233,800,0,480,124,1,340,30.00,10.9,140,62.5
Videocon-Infinium-Z45-Nova_id9289,1,218,854,5,480,133.5,1,,,8.5,131,65
ZTE-R791_id6647,,179,400,6,240,100.5,,380,5.00,12.8,85,47.4
i-mobile-S385_id6312,,167,320,4,240,117.8,,340,5.60,13.6,,61
Samsung-SGH-X160_id2018,,,160,,128,,,210,3.83,,76,
Motorola-C257_id1415,,,128,,128,110,,280,7.50,15,91,50
Spice-Mobile-X-Life-512_id9732,1,196,854,0,480,146,5,256,8.00,9.5,,73.6
Kyocera-DuraMax_id5750,,200,320,0,240,102,,,8.08,25,145,53
LG-G-Pad-F-8,1,189,1280,0,800,210.6,1,,,8.9,349,124.2
HTC-G-Infinity_id5555,,,,,,,,,,,,
Sony-Xperia-Z4-Ultra_id8996,1,456,2560,4,1440,,,,,,,
Spice-Mobile-M-5115_id6535,,114,160,8,128,,,500,4.00,,45,
BlackBerry-Priv_id9744,1,541,2560,4,1440,147,3,,,9.4,192,77.2
Samsung-Galaxy-S-III-Verizon_id7114,1,306,1280,8,720,,2,200,15.00,,133,
Nokia-Asha-306_id7133,3,155,400,0,240,110.3,,600,14.00,12.8,98,53.8
Nokia-6700-classic_id3439,,182,320,2,240,109.8,,300,5.00,11,116,45
Kyocera-Neo-E1100_id2722,,182,320,2,240,89.5,,220,3.66,16.7,90,52
Samsung-SGH-D870_id1520,,190,320,1,240,103.5,,,,19,93,51
Maxwest-Orbit-4600_id8005,1,208,854,7,480,137,5,,,8.9,,70
Meizu-M3-Note_id10023,1,402,1920,5,1080,153.6,2,,,8.2,163,75.5
ZTE-Kis-3-Max_id8901,1,218,854,5,480,132,5,650,12.00,9.1,135,66
Micromax-X085_id8852,,116,160,8,128,106,,187,3.20,14.5,69,44
LG-KP320_id3409,,200,320,0,240,105,,,,13.5,,46
Karbonn-K-404_id5838,,200,320,0,240,105,,500,3.00,15.5,,45
LG-Revolution_id4981,3,217,800,3,480,128,,335,7.25,13,172,67
mobiado-PRO_id3397,,,128,,128,105,,300,5.00,20,142,46
Nokia-X3-Touch-and-Type_id4840,,167,320,4,240,106.2,5,432,5.30,9.6,77,48.4
Videocon-V1528_id7154,,167,320,4,240,113.2,,,10.00,14.3,,51.3
Motorola-A925_id1054,,,320,,208,148,,160,2.00,24,210,60
ZTE-Blade-Vec-3G_id8900,1,294,1280,0,720,139.3,1,,,7.8,,69.8
Kyocera-QCP-2255_id39,,,,,,120,,144,3.80,24,123,48
ZTE-nubia-Z7_id8754,1,534,2560,5,1440,153.2,3,,,8.9,,75.7
Kyocera-Echo_id5194,3,267,800,5,480,115.0,5,,7.00,17.2,193,56.5
Motorola-RAZR2-V8_id2165,3,182,320,2,240,103,,280,8.33,11.9,117,53
honor-3C_id9203,1,294,1280,0,720,138.5,2,,,9.2,140,71.4
Nokia-2700-classic_id3441,,200,320,0,240,109.2,,288,6.00,14,85,46
Lenovo-YOGA-Tablet-2-8-inch-Windows_id8961,1,283,1200,0,1920,210,2,,,7,426,149
Alcatel-OT-807A_id5047,,143,320,8,240,118.5,,650,9.00,12.2,105,59
Jolla-Smartphone_id8153,1,245,960,5,540,131,1,500,9.00,9.9,141,68
PCD-CDM-9200_id1206,,,320,,240,84,,160,2.80,23,85,43
Palm-Treo-500v_id2386,,,240,,320,110,,240,4.50,16.5,120,61.5
Sony-Ericsson-Vivaz-pro_id4338,3,229,640,2,360,109,,430,12.50,15,117,52
Vertu-Ascent-Ti_id3878,,,320,,240,115.5,,300,5.00,13.1,220,49
Micromax-A111-Canvas-Doodle_id7889,1,185,854,3,480,147,5,220,6.50,9.7,168,76.5
LG-L1200_id547,,,160,,128,86,,250,3.40,26,95,44
BlackBerry-Z30_id7519,1,295,1280,0,720,140.7,2,384,18.00,9.4,170,72
Motorola-Timeport-L7089_id147,,,,,,152,,150,3.50,25,142,42
Samsung-SGH-i550_id2345,,154,320,6,240,115,5,450,8.00,13.8,109,53
Sony-Ericsson-K610_id1476,,,220,,176,102,,400,7.00,17,92,45
LG-AX490_id1561,,,160,,128,95,,140,3.00,25,107,49
Acer-Liquid-M330_id9609,1,218,854,5,480,136,1,,,9.6,140,66.5
Acer-Iconia-B1_id7622,1,170,600,0,1024,197.4,5,,,11.3,320,128.5
Sony-Ericsson-W395_id3467,,141,220,0,176,96,,480,8.00,14.9,96,47
Motorola-i2000plus_id60,,,,,,135,,45,3.00,33,187,58
Samsung-SGH-D900-Ultra-12,,,320,,240,103.5,,250,3.30,13,93,51
HTC-Desire-400_id8253,1,217,800,3,480,128,1,384,10.00,8.9,120,66.9
LG-Accolade_id4405,,160,220,8,176,90,,679,7.66,18,85,46
Samsung-SGH-C260_id2034,,,160,,128,88,,350,3.00,19.8,79,45
Motorola-DROID_id3853,3,265,854,7,480,116,5,270,6.41,14,169,60
Motorola-DEVOUR_id4189,3,186,480,1,320,115.5,,443,6.48,15.4,180,61
Samsung-Slash_id2922,,108,160,9,128,97,,170,3.50,16.7,85,46
Samsung-Galaxy-S-Plus_id5372,2,233,800,0,480,122.4,5,750,12.80,9.9,119,64.2
Micromax-X228_id5931,,114,160,8,128,112.3,,240,15.00,14.5,104,46.5
Sony-Ericsson-Z800_id1131,,,220,,176,102,,240,10.00,23.6,128,49
Zen-Mobile-S20_id6244,,143,320,8,240,,,230,4.00,,,
Samsung-Tobi_id3174,,120,176,9,144,94.7,,264,5.00,17.5,85,45.4
Haier-A62_id5996,,,,,,93,,240,3.00,24,100,46
T-Mobile-myTouch-3G-Slide_id4395,3,170,480,4,320,114,5,286,6.70,15,167,58
Alcatel-OneTouch-PIXI-First_id9620,1,233,800,0,480,122.1,5,300,7.00,9.7,,64.4
Xiaomi-Redmi-Pro_id10194,3,401,1920,5,1080,151.5,3,,,8.15,174,76.2
Saygus-Vphone_id4463,3,267,800,5,480,116.5,5,250,7.00,20.3,,59.5
HTC-Voyager_id585,3,,220,,176,120,,100,5.00,24,130,50
LG-Apex_id5019,3,292,800,2,480,116,5,500,7.50,16,158,56
Karbonn-Smart-A12-Star_id9261,1,233,800,0,480,124.2,5,300,,10.1,130,64.2
LG-102_id5522,,,,,,105,,,,13,70,46
Xolo-Play-8X-1200_id9133,1,441,1920,0,1080,143,2,600,24.00,9.7,,68.5
Alcatel-OT-355D_id5429,,114,128,8,160,103,,450,9.00,12.1,80,58
Lenovo-Vibe-S1_id9595,1,441,1920,0,1080,143.3,3,264,26.00,7.8,132,70.8
Xolo-Q900s-Plus_id9020,1,312,1280,7,720,135.8,1,263,23.00,7.2,100,67.2
ZTE-FTV-Phone_id6960,3,267,800,5,480,114,,,,11.8,130,56.5
Nokia-X7_id5082,3,184,640,0,360,119.7,5,450,6.50,11.9,146,62.8
LG-Optimus-Pad_id5223,1,168,768,9,1280,243,,,,12,620,149
Samsung-SGH-E251_id2612,,102,160,0,128,99.5,,250,5.00,14,81,49.5
Samsung-SGH-D307--D300_id1245,,,220,,176,94,,200,5.00,22,122,48
NIU-BINGO_id7155,,111,160,8,120,100,,96,4.00,14.5,45,43.8
Karbonn-Quattro-L45-IPS_id10055,1,218,854,5,480,136.5,1,350,,9.35,118,66.9
Zen-Mobile-U4_id7985,3,,,3,,,5,168,6.00,,,
