,cpu_rating,display_density,display_height,display_size,display_width,height,memory,standby_time,talk_time,thickness,weight,width
Huawei-MediaPad_id5661,1,216,800,0,1280,190,1,200,,10.5,390,124
Celkon-i9_id7330,,117,220,4,176,105,,500,4.00,14.8,81,45
HTC-DROID-DNA_id7498,1,441,1920,0,1080,141,2,353,12.80,9.73,138,70.5
Spice-Mobile-M-5500_id5778,,167,320,4,240,113,,230,4.00,13.7,86,51.6
ZTE-R228_id5473,,141,220,0,176,108,,300,4.15,11,67,46
Asus-MeMO-Pad_id7665,3,170,600,0,1024,196,1,,,11,370,119
Fly-Spark-IQ4404_id9216,1,218,854,5,480,113.3,5,,,9.7,132,66.5
Acer-Liquid-Z530S_id9607,1,294,1280,0,720,144,3,,,8.9,145,70.3
Micromax-X510-PIKE_id5899,,167,400,8,240,110.2,,384,8.00,14.75,103,55
Sony-Xperia-Z2a_id8732,1,441,1920,0,1080,137,3,690,15.00,11,163,72
i-mobile-i691_id6291,,,,5,,117,,620,10.00,12.9,,63
General-Mobile-S3_id6754,,167,320,4,240,104.5,,160,4.30,11.8,112,51.2
Benq-Siemens-P51_id1508,3,,320,,240,122,5,150,4.00,20,170,60
Huawei-Activa-4G_id7145,3,165,480,5,320,122,,105,3.30,11,140,61
LAVA-KKT-24_id6077,,141,220,0,176,,,400,10.00,,,
Panasonic-X11_id735,,,176,,132,87,,290,5.00,27,95,48
Nokia-1661-US_id3616,,114,160,8,128,108,,500,3.90,13.5,82,45
Lemon-Mobiles-Duo-319_id5905,,200,240,0,320,110,,700,8.00,16.2,110,46
LAVA-Iris-360-Music_id9344,1,165,480,5,320,114.5,5,250,10.08,11.2,,60.7
Palm-Treo-700p_id1604,3,,320,,320,112,,300,4.50,23,180,58
Samsung-Contour_id4690,,102,160,0,128,95,,200,3.30,18,108,48
ICEMOBILE-Galaxy-Prime-Plus_id8034,1,,,0,,,5,,,,,
LG-A310_id5003,,141,220,0,176,98,5,,,15.2,106,47
Toshiba-Excite-13_id7031,1,138,900,3,1600,343,1,168,,10,998,216
Samsung-Haven_id4397,,128,220,2,176,100,,336,5.00,18,99,51
Sony-Xperia-C5-Ultra_id9557,1,367,1920,0,1080,164.2,2,594,14.40,8.2,187,79.6
LG-KP115_id3413,,,128,,128,103,,400,4.00,13.4,65,46
Spice-Mobile-Stellar-520n_id9181,1,294,1280,0,720,145,1,200,4.00,8.5,156,72.8
LAVA-Iris-Atom-3_id9871,1,196,854,0,480,144,5,,9.50,9,150,72
Kyocera-DuraXT_id7147,,200,320,0,240,101.5,,,8.00,28.5,150,53.5
Lenovo-K7t_id8355,1,587,2560,0,1440,,3,,,,,
mobiado-105CLB_id3390,,200,320,0,240,109.3,,216,3.50,10.6,162,47.5
LG-Viewty-Smart_id3511,,311,800,0,480,109,,350,6.00,12.4,102,56
Samsung-C5212_id3493,,128,220,2,176,112.7,,280,10.00,14.3,99,48.5
Sony-Ericsson-W910_id2205,,167,320,4,240,99.5,,400,9.00,12.5,86,50
Celkon-C-50-3D_id7238,,,,0,,,,,,,,
ZTE-V9S_id6990,1,216,1280,0,800,194,1,,,12,400,120
HTC-Titan_id5559,2,199,800,7,480,,5,360,11.83,,160,
Samsung-SGH-E340_id1184,,,160,,128,88,,220,3.00,24,80,46
Motorola-V710_id750,,,220,,176,94,,165,3.00,23,124,49
Plum-Sync-4,1,245,854,0,480,120.4,5,760,14.00,9.8,97,63.6
Plum-Sync-5,1,196,854,0,480,145.6,5,860,18.00,9.6,109,71.2
Plum-Sync-3,1,165,480,5,320,118.4,5,780,14.00,9.8,93,56.2
Karbonn-Titanium-Desire-S30_id9807,1,218,854,5,480,,5,250,10.00,,122,
Samsung-Galaxy-Ace-3_id7881,1,233,800,0,480,121.2,1,,,9.8,115,62.7
ARCHOS-50b-Platinum_id8865,1,220,960,0,540,146.8,5,,,8.3,160,73
Celkon-A119_id7856,1,294,1280,0,720,,1,,,,,
Samsung-SGH-Z560_id1610,,,320,,240,97.5,,320,3.70,16.5,98,51.5
Micromax-A45-Superfone-Punk_id7405,3,165,480,5,320,115,,167,4.50,13,120,63
ARCHOS-64-Xenon_id8469,1,229,1280,4,720,170.7,1,,,9.3,232,90.6
Samsung-SGH-i740_id3293,,,320,,240,109,,630,11.00,14,126,59
GIGABYTE-GSmart-Roma-R2_id8233,1,233,800,0,480,125,1,220,3.50,9.3,125,63.2
Lenovo-TAB-2-A7-10_id9033,1,170,600,0,1024,104.1,1,,,9.1,268,190.5
i-mobile-612_id4039,,182,320,2,240,100,,250,2.50,17,90,47
Samsung-SGH-T404G_id4771,,,320,,240,114,,348,7.00,15,129,51
i-mobile-TV620_id4047,,167,320,4,240,114,,420,8.00,14.6,98,51.5
Google-Nexus-7-2013_id8021,1,323,1200,0,1920,200,2,,,8.65,290,114
Nokia-E62_id1452,,,240,,320,117,,336,5.50,14,144,70
LG-KE820_id1657,,,176,,220,95,,250,2.20,9.9,73,52
Samsung-Galaxy-Note-7_id10024,1,518,2560,7,1440,153.5,4,,,7.9,169,73.9
Samsung-Captivate_id4676,3,233,800,0,480,121,5,300,5.83,10,128,64
Celkon-Campus-A35K_id9026,3,165,480,5,320,119,5,,,10.7,102,63
Motorola-W260g_id2680,,113,128,6,128,95,,432,6.50,17,90,45
Samsung-SGH-V100_id124,,,220,,176,89,,120,4.00,24,80,46
HTC-Desire-500_id8029,1,217,800,3,480,131.8,1,401,17.80,9.9,123,66.9
Alcatel-OneTouch-Fierce-XL_id9797,1,267,1280,5,720,,2,820,14.00,,173,
